question,answer
Who do I need to contact at BUV?,"In BUV, there are several contact points depending on the nature of your inquiry. Here are the main contact points:

**Student Information Office:**
They provide support and guidance for general inquiries, attendance records, and meeting bookings. You can contact them at [studentservice@buv.edu.vn](mailto:studentservice@buv.edu.vn) or visit the Student Information Counter on Level 2 of the BUV Campus.

**Admission Office:**
They provide support and guidance for inquiries related to the admissions procedure, including pre-arrival inquiries. You can contact them at [admissions@buv.edu.vn](mailto:admissions@buv.edu.vn).

**Course Office:**
They provide support and guidance for inquiries related to the timetable, class arrangement, status changes, course operations, program, and module administration. You can contact them at [courseoffice@buv.edu.vn](mailto:courseoffice@buv.edu.vn).

**Student Academic Support Office:**
They provide support and guidance for inquiries related to academic support, including the Student Tutor Program and Faculty Learning Support. You can contact them at [academic-support@buv.edu.vn](mailto:academic-support@buv.edu.vn).

**Student Engagement:**
They provide general support and guidance for student activities, student life, and employability activities. For inquiries related to student activities and student clubs, you can contact [se-studentlife@buv.edu.vn](mailto:se-studentlife@buv.edu.vn). For inquiries related to internships, career planning, and consultations, you can contact [se-careers@buv.edu.vn](mailto:se-careers@buv.edu.vn).

**Well-being and Psychological Counselling:**
They provide support and guidance for student well-being matters, including psychological counseling services. You can contact them at [student-wellbeing@buv.edu.vn](mailto:student-wellbeing@buv.edu.vn).

**Learning Resources Centre:**
They provide support and guidance for inquiries related to student iPads, learning resources facilities, and the on-campus library. You can contact them at [buv-lrc@buv.edu.vn](mailto:buv-lrc@buv.edu.vn).

**Canvas Learning Management System:**
They provide support and guidance for inquiries related to the Canvas Learning Management System. You can contact them at [buv-lms@buv.edu.vn](mailto:buv-lms@buv.edu.vn).

**Exam Office:**
They provide support and guidance for inquiries related to the exam timetable and exam regulations. You can contact them at [examoffice@buv.edu.vn](mailto:examoffice@buv.edu.vn).

**Academic Compliance Office:**
They provide support and guidance for inquiries related to academic misconduct, academic regulations, and exceptional circumstances. You can contact them at [aca.compliance@buv.edu.vn](mailto:aca.compliance@buv.edu.vn).

**Central of Academic Information Services - CAIS:**
They provide support and guidance for inquiries related to exam results, student records, transcripts, and academic records. You can contact them at [cais@buv.edu.vn](mailto:cais@buv.edu.vn).

**International Office:**
They provide support and guidance for inquiries related to global mobility, including exchange and transfer programs and international study tours. You can contact them at [international@buv.edu.vn](mailto:international@buv.edu.vn).

For specific inquiries, it is recommended to contact the respective office or department mentioned above. They will be able to assist you further.

Sources:

Student Handbook 2023-2024.pdf - Page 6-8"
Who is the relevant contact at BUV?,"In BUV, there are several contact points depending on the nature of your inquiry. Here are the main contact points:

**Student Information Office:**
They provide support and guidance for general inquiries, attendance records, and meeting bookings. You can contact them at [studentservice@buv.edu.vn](mailto:studentservice@buv.edu.vn) or visit the Student Information Counter on Level 2 of the BUV Campus.

**Admission Office:**
They provide support and guidance for inquiries related to the admissions procedure, including pre-arrival inquiries. You can contact them at [admissions@buv.edu.vn](mailto:admissions@buv.edu.vn).

**Course Office:**
They provide support and guidance for inquiries related to the timetable, class arrangement, status changes, course operations, program, and module administration. You can contact them at [courseoffice@buv.edu.vn](mailto:courseoffice@buv.edu.vn).

**Student Academic Support Office:**
They provide support and guidance for inquiries related to academic support, including the Student Tutor Program and Faculty Learning Support. You can contact them at [academic-support@buv.edu.vn](mailto:academic-support@buv.edu.vn).

**Student Engagement:**
They provide general support and guidance for student activities, student life, and employability activities. For inquiries related to student activities and student clubs, you can contact [se-studentlife@buv.edu.vn](mailto:se-studentlife@buv.edu.vn). For inquiries related to internships, career planning, and consultations, you can contact [se-careers@buv.edu.vn](mailto:se-careers@buv.edu.vn).

**Well-being and Psychological Counselling:**
They provide support and guidance for student well-being matters, including psychological counseling services. You can contact them at [student-wellbeing@buv.edu.vn](mailto:student-wellbeing@buv.edu.vn).

**Learning Resources Centre:**
They provide support and guidance for inquiries related to student iPads, learning resources facilities, and the on-campus library. You can contact them at [buv-lrc@buv.edu.vn](mailto:buv-lrc@buv.edu.vn).

**Canvas Learning Management System:**
They provide support and guidance for inquiries related to the Canvas Learning Management System. You can contact them at [buv-lms@buv.edu.vn](mailto:buv-lms@buv.edu.vn).

**Exam Office:**
They provide support and guidance for inquiries related to the exam timetable and exam regulations. You can contact them at [examoffice@buv.edu.vn](mailto:examoffice@buv.edu.vn).

**Academic Compliance Office:**
They provide support and guidance for inquiries related to academic misconduct, academic regulations, and exceptional circumstances. You can contact them at [aca.compliance@buv.edu.vn](mailto:aca.compliance@buv.edu.vn).

**Central of Academic Information Services - CAIS:**
They provide support and guidance for inquiries related to exam results, student records, transcripts, and academic records. You can contact them at [cais@buv.edu.vn](mailto:cais@buv.edu.vn).

**International Office:**
They provide support and guidance for inquiries related to global mobility, including exchange and transfer programs and international study tours. You can contact them at [international@buv.edu.vn](mailto:international@buv.edu.vn).

For specific inquiries, it is recommended to contact the respective office or department mentioned above. They will be able to assist you further.

Sources:

Student Handbook 2023-2024.pdf - Page 6-8"
Who should I email at BUV?,"In BUV, there are several contact points depending on the nature of your inquiry. Here are the main contact points:

**Student Information Office:**
They provide support and guidance for general inquiries, attendance records, and meeting bookings. You can contact them at [studentservice@buv.edu.vn](mailto:studentservice@buv.edu.vn) or visit the Student Information Counter on Level 2 of the BUV Campus.

**Admission Office:**
They provide support and guidance for inquiries related to the admissions procedure, including pre-arrival inquiries. You can contact them at [admissions@buv.edu.vn](mailto:admissions@buv.edu.vn).

**Course Office:**
They provide support and guidance for inquiries related to the timetable, class arrangement, status changes, course operations, program, and module administration. You can contact them at [courseoffice@buv.edu.vn](mailto:courseoffice@buv.edu.vn).

**Student Academic Support Office:**
They provide support and guidance for inquiries related to academic support, including the Student Tutor Program and Faculty Learning Support. You can contact them at [academic-support@buv.edu.vn](mailto:academic-support@buv.edu.vn).

**Student Engagement:**
They provide general support and guidance for student activities, student life, and employability activities. For inquiries related to student activities and student clubs, you can contact [se-studentlife@buv.edu.vn](mailto:se-studentlife@buv.edu.vn). For inquiries related to internships, career planning, and consultations, you can contact [se-careers@buv.edu.vn](mailto:se-careers@buv.edu.vn).

**Well-being and Psychological Counselling:**
They provide support and guidance for student well-being matters, including psychological counseling services. You can contact them at [student-wellbeing@buv.edu.vn](mailto:student-wellbeing@buv.edu.vn).

**Learning Resources Centre:**
They provide support and guidance for inquiries related to student iPads, learning resources facilities, and the on-campus library. You can contact them at [buv-lrc@buv.edu.vn](mailto:buv-lrc@buv.edu.vn).

**Canvas Learning Management System:**
They provide support and guidance for inquiries related to the Canvas Learning Management System. You can contact them at [buv-lms@buv.edu.vn](mailto:buv-lms@buv.edu.vn).

**Exam Office:**
They provide support and guidance for inquiries related to the exam timetable and exam regulations. You can contact them at [examoffice@buv.edu.vn](mailto:examoffice@buv.edu.vn).

**Academic Compliance Office:**
They provide support and guidance for inquiries related to academic misconduct, academic regulations, and exceptional circumstances. You can contact them at [aca.compliance@buv.edu.vn](mailto:aca.compliance@buv.edu.vn).

**Central of Academic Information Services - CAIS:**
They provide support and guidance for inquiries related to exam results, student records, transcripts, and academic records. You can contact them at [cais@buv.edu.vn](mailto:cais@buv.edu.vn).

**International Office:**
They provide support and guidance for inquiries related to global mobility, including exchange and transfer programs and international study tours. You can contact them at [international@buv.edu.vn](mailto:international@buv.edu.vn).

For specific inquiries, it is recommended to contact the respective office or department mentioned above. They will be able to assist you further.

Sources:

Student Handbook 2023-2024.pdf - Page 6-8"
Who is the appropriate person to contact at BUV?,"In BUV, there are several contact points depending on the nature of your inquiry. Here are the main contact points:

**Student Information Office:**
They provide support and guidance for general inquiries, attendance records, and meeting bookings. You can contact them at [studentservice@buv.edu.vn](mailto:studentservice@buv.edu.vn) or visit the Student Information Counter on Level 2 of the BUV Campus.

**Admission Office:**
They provide support and guidance for inquiries related to the admissions procedure, including pre-arrival inquiries. You can contact them at [admissions@buv.edu.vn](mailto:admissions@buv.edu.vn).

**Course Office:**
They provide support and guidance for inquiries related to the timetable, class arrangement, status changes, course operations, program, and module administration. You can contact them at [courseoffice@buv.edu.vn](mailto:courseoffice@buv.edu.vn).

**Student Academic Support Office:**
They provide support and guidance for inquiries related to academic support, including the Student Tutor Program and Faculty Learning Support. You can contact them at [academic-support@buv.edu.vn](mailto:academic-support@buv.edu.vn).

**Student Engagement:**
They provide general support and guidance for student activities, student life, and employability activities. For inquiries related to student activities and student clubs, you can contact [se-studentlife@buv.edu.vn](mailto:se-studentlife@buv.edu.vn). For inquiries related to internships, career planning, and consultations, you can contact [se-careers@buv.edu.vn](mailto:se-careers@buv.edu.vn).

**Well-being and Psychological Counselling:**
They provide support and guidance for student well-being matters, including psychological counseling services. You can contact them at [student-wellbeing@buv.edu.vn](mailto:student-wellbeing@buv.edu.vn).

**Learning Resources Centre:**
They provide support and guidance for inquiries related to student iPads, learning resources facilities, and the on-campus library. You can contact them at [buv-lrc@buv.edu.vn](mailto:buv-lrc@buv.edu.vn).

**Canvas Learning Management System:**
They provide support and guidance for inquiries related to the Canvas Learning Management System. You can contact them at [buv-lms@buv.edu.vn](mailto:buv-lms@buv.edu.vn).

**Exam Office:**
They provide support and guidance for inquiries related to the exam timetable and exam regulations. You can contact them at [examoffice@buv.edu.vn](mailto:examoffice@buv.edu.vn).

**Academic Compliance Office:**
They provide support and guidance for inquiries related to academic misconduct, academic regulations, and exceptional circumstances. You can contact them at [aca.compliance@buv.edu.vn](mailto:aca.compliance@buv.edu.vn).

**Central of Academic Information Services - CAIS:**
They provide support and guidance for inquiries related to exam results, student records, transcripts, and academic records. You can contact them at [cais@buv.edu.vn](mailto:cais@buv.edu.vn).

**International Office:**
They provide support and guidance for inquiries related to global mobility, including exchange and transfer programs and international study tours. You can contact them at [international@buv.edu.vn](mailto:international@buv.edu.vn).

For specific inquiries, it is recommended to contact the respective office or department mentioned above. They will be able to assist you further.

Sources:

Student Handbook 2023-2024.pdf - Page 6-8"
Who do I get in touch with at BUV?,"In BUV, there are several contact points depending on the nature of your inquiry. Here are the main contact points:

**Student Information Office:**
They provide support and guidance for general inquiries, attendance records, and meeting bookings. You can contact them at [studentservice@buv.edu.vn](mailto:studentservice@buv.edu.vn) or visit the Student Information Counter on Level 2 of the BUV Campus.

**Admission Office:**
They provide support and guidance for inquiries related to the admissions procedure, including pre-arrival inquiries. You can contact them at [admissions@buv.edu.vn](mailto:admissions@buv.edu.vn).

**Course Office:**
They provide support and guidance for inquiries related to the timetable, class arrangement, status changes, course operations, program, and module administration. You can contact them at [courseoffice@buv.edu.vn](mailto:courseoffice@buv.edu.vn).

**Student Academic Support Office:**
They provide support and guidance for inquiries related to academic support, including the Student Tutor Program and Faculty Learning Support. You can contact them at [academic-support@buv.edu.vn](mailto:academic-support@buv.edu.vn).

**Student Engagement:**
They provide general support and guidance for student activities, student life, and employability activities. For inquiries related to student activities and student clubs, you can contact [se-studentlife@buv.edu.vn](mailto:se-studentlife@buv.edu.vn). For inquiries related to internships, career planning, and consultations, you can contact [se-careers@buv.edu.vn](mailto:se-careers@buv.edu.vn).

**Well-being and Psychological Counselling:**
They provide support and guidance for student well-being matters, including psychological counseling services. You can contact them at [student-wellbeing@buv.edu.vn](mailto:student-wellbeing@buv.edu.vn).

**Learning Resources Centre:**
They provide support and guidance for inquiries related to student iPads, learning resources facilities, and the on-campus library. You can contact them at [buv-lrc@buv.edu.vn](mailto:buv-lrc@buv.edu.vn).

**Canvas Learning Management System:**
They provide support and guidance for inquiries related to the Canvas Learning Management System. You can contact them at [buv-lms@buv.edu.vn](mailto:buv-lms@buv.edu.vn).

**Exam Office:**
They provide support and guidance for inquiries related to the exam timetable and exam regulations. You can contact them at [examoffice@buv.edu.vn](mailto:examoffice@buv.edu.vn).

**Academic Compliance Office:**
They provide support and guidance for inquiries related to academic misconduct, academic regulations, and exceptional circumstances. You can contact them at [aca.compliance@buv.edu.vn](mailto:aca.compliance@buv.edu.vn).

**Central of Academic Information Services - CAIS:**
They provide support and guidance for inquiries related to exam results, student records, transcripts, and academic records. You can contact them at [cais@buv.edu.vn](mailto:cais@buv.edu.vn).

**International Office:**
They provide support and guidance for inquiries related to global mobility, including exchange and transfer programs and international study tours. You can contact them at [international@buv.edu.vn](mailto:international@buv.edu.vn).

For specific inquiries, it is recommended to contact the respective office or department mentioned above. They will be able to assist you further.

Sources:

Student Handbook 2023-2024.pdf - Page 6-8"
Who should I reach out to at BUV?,"In BUV, there are several contact points depending on the nature of your inquiry. Here are the main contact points:

**Student Information Office:**
They provide support and guidance for general inquiries, attendance records, and meeting bookings. You can contact them at [studentservice@buv.edu.vn](mailto:studentservice@buv.edu.vn) or visit the Student Information Counter on Level 2 of the BUV Campus.

**Admission Office:**
They provide support and guidance for inquiries related to the admissions procedure, including pre-arrival inquiries. You can contact them at [admissions@buv.edu.vn](mailto:admissions@buv.edu.vn).

**Course Office:**
They provide support and guidance for inquiries related to the timetable, class arrangement, status changes, course operations, program, and module administration. You can contact them at [courseoffice@buv.edu.vn](mailto:courseoffice@buv.edu.vn).

**Student Academic Support Office:**
They provide support and guidance for inquiries related to academic support, including the Student Tutor Program and Faculty Learning Support. You can contact them at [academic-support@buv.edu.vn](mailto:academic-support@buv.edu.vn).

**Student Engagement:**
They provide general support and guidance for student activities, student life, and employability activities. For inquiries related to student activities and student clubs, you can contact [se-studentlife@buv.edu.vn](mailto:se-studentlife@buv.edu.vn). For inquiries related to internships, career planning, and consultations, you can contact [se-careers@buv.edu.vn](mailto:se-careers@buv.edu.vn).

**Well-being and Psychological Counselling:**
They provide support and guidance for student well-being matters, including psychological counseling services. You can contact them at [student-wellbeing@buv.edu.vn](mailto:student-wellbeing@buv.edu.vn).

**Learning Resources Centre:**
They provide support and guidance for inquiries related to student iPads, learning resources facilities, and the on-campus library. You can contact them at [buv-lrc@buv.edu.vn](mailto:buv-lrc@buv.edu.vn).

**Canvas Learning Management System:**
They provide support and guidance for inquiries related to the Canvas Learning Management System. You can contact them at [buv-lms@buv.edu.vn](mailto:buv-lms@buv.edu.vn).

**Exam Office:**
They provide support and guidance for inquiries related to the exam timetable and exam regulations. You can contact them at [examoffice@buv.edu.vn](mailto:examoffice@buv.edu.vn).

**Academic Compliance Office:**
They provide support and guidance for inquiries related to academic misconduct, academic regulations, and exceptional circumstances. You can contact them at [aca.compliance@buv.edu.vn](mailto:aca.compliance@buv.edu.vn).

**Central of Academic Information Services - CAIS:**
They provide support and guidance for inquiries related to exam results, student records, transcripts, and academic records. You can contact them at [cais@buv.edu.vn](mailto:cais@buv.edu.vn).

**International Office:**
They provide support and guidance for inquiries related to global mobility, including exchange and transfer programs and international study tours. You can contact them at [international@buv.edu.vn](mailto:international@buv.edu.vn).

For specific inquiries, it is recommended to contact the respective office or department mentioned above. They will be able to assist you further.

Sources:

Student Handbook 2023-2024.pdf - Page 6-8"
Who can I contact at BUV?,"In BUV, there are several contact points depending on the nature of your inquiry. Here are the main contact points:

**Student Information Office:**
They provide support and guidance for general inquiries, attendance records, and meeting bookings. You can contact them at [studentservice@buv.edu.vn](mailto:studentservice@buv.edu.vn) or visit the Student Information Counter on Level 2 of the BUV Campus.

**Admission Office:**
They provide support and guidance for inquiries related to the admissions procedure, including pre-arrival inquiries. You can contact them at [admissions@buv.edu.vn](mailto:admissions@buv.edu.vn).

**Course Office:**
They provide support and guidance for inquiries related to the timetable, class arrangement, status changes, course operations, program, and module administration. You can contact them at [courseoffice@buv.edu.vn](mailto:courseoffice@buv.edu.vn).

**Student Academic Support Office:**
They provide support and guidance for inquiries related to academic support, including the Student Tutor Program and Faculty Learning Support. You can contact them at [academic-support@buv.edu.vn](mailto:academic-support@buv.edu.vn).

**Student Engagement:**
They provide general support and guidance for student activities, student life, and employability activities. For inquiries related to student activities and student clubs, you can contact [se-studentlife@buv.edu.vn](mailto:se-studentlife@buv.edu.vn). For inquiries related to internships, career planning, and consultations, you can contact [se-careers@buv.edu.vn](mailto:se-careers@buv.edu.vn).

**Well-being and Psychological Counselling:**
They provide support and guidance for student well-being matters, including psychological counseling services. You can contact them at [student-wellbeing@buv.edu.vn](mailto:student-wellbeing@buv.edu.vn).

**Learning Resources Centre:**
They provide support and guidance for inquiries related to student iPads, learning resources facilities, and the on-campus library. You can contact them at [buv-lrc@buv.edu.vn](mailto:buv-lrc@buv.edu.vn).

**Canvas Learning Management System:**
They provide support and guidance for inquiries related to the Canvas Learning Management System. You can contact them at [buv-lms@buv.edu.vn](mailto:buv-lms@buv.edu.vn).

**Exam Office:**
They provide support and guidance for inquiries related to the exam timetable and exam regulations. You can contact them at [examoffice@buv.edu.vn](mailto:examoffice@buv.edu.vn).

**Academic Compliance Office:**
They provide support and guidance for inquiries related to academic misconduct, academic regulations, and exceptional circumstances. You can contact them at [aca.compliance@buv.edu.vn](mailto:aca.compliance@buv.edu.vn).

**Central of Academic Information Services - CAIS:**
They provide support and guidance for inquiries related to exam results, student records, transcripts, and academic records. You can contact them at [cais@buv.edu.vn](mailto:cais@buv.edu.vn).

**International Office:**
They provide support and guidance for inquiries related to global mobility, including exchange and transfer programs and international study tours. You can contact them at [international@buv.edu.vn](mailto:international@buv.edu.vn).

For specific inquiries, it is recommended to contact the respective office or department mentioned above. They will be able to assist you further.

Sources:

Student Handbook 2023-2024.pdf - Page 6-8"
Who is the right contact at BUV?,"In BUV, there are several contact points depending on the nature of your inquiry. Here are the main contact points:

**Student Information Office:**
They provide support and guidance for general inquiries, attendance records, and meeting bookings. You can contact them at [studentservice@buv.edu.vn](mailto:studentservice@buv.edu.vn) or visit the Student Information Counter on Level 2 of the BUV Campus.

**Admission Office:**
They provide support and guidance for inquiries related to the admissions procedure, including pre-arrival inquiries. You can contact them at [admissions@buv.edu.vn](mailto:admissions@buv.edu.vn).

**Course Office:**
They provide support and guidance for inquiries related to the timetable, class arrangement, status changes, course operations, program, and module administration. You can contact them at [courseoffice@buv.edu.vn](mailto:courseoffice@buv.edu.vn).

**Student Academic Support Office:**
They provide support and guidance for inquiries related to academic support, including the Student Tutor Program and Faculty Learning Support. You can contact them at [academic-support@buv.edu.vn](mailto:academic-support@buv.edu.vn).

**Student Engagement:**
They provide general support and guidance for student activities, student life, and employability activities. For inquiries related to student activities and student clubs, you can contact [se-studentlife@buv.edu.vn](mailto:se-studentlife@buv.edu.vn). For inquiries related to internships, career planning, and consultations, you can contact [se-careers@buv.edu.vn](mailto:se-careers@buv.edu.vn).

**Well-being and Psychological Counselling:**
They provide support and guidance for student well-being matters, including psychological counseling services. You can contact them at [student-wellbeing@buv.edu.vn](mailto:student-wellbeing@buv.edu.vn).

**Learning Resources Centre:**
They provide support and guidance for inquiries related to student iPads, learning resources facilities, and the on-campus library. You can contact them at [buv-lrc@buv.edu.vn](mailto:buv-lrc@buv.edu.vn).

**Canvas Learning Management System:**
They provide support and guidance for inquiries related to the Canvas Learning Management System. You can contact them at [buv-lms@buv.edu.vn](mailto:buv-lms@buv.edu.vn).

**Exam Office:**
They provide support and guidance for inquiries related to the exam timetable and exam regulations. You can contact them at [examoffice@buv.edu.vn](mailto:examoffice@buv.edu.vn).

**Academic Compliance Office:**
They provide support and guidance for inquiries related to academic misconduct, academic regulations, and exceptional circumstances. You can contact them at [aca.compliance@buv.edu.vn](mailto:aca.compliance@buv.edu.vn).

**Central of Academic Information Services - CAIS:**
They provide support and guidance for inquiries related to exam results, student records, transcripts, and academic records. You can contact them at [cais@buv.edu.vn](mailto:cais@buv.edu.vn).

**International Office:**
They provide support and guidance for inquiries related to global mobility, including exchange and transfer programs and international study tours. You can contact them at [international@buv.edu.vn](mailto:international@buv.edu.vn).

For specific inquiries, it is recommended to contact the respective office or department mentioned above. They will be able to assist you further.

Sources:

Student Handbook 2023-2024.pdf - Page 6-8"
Who is responsible for contacts at BUV?,"In BUV, there are several contact points depending on the nature of your inquiry. Here are the main contact points:

**Student Information Office:**
They provide support and guidance for general inquiries, attendance records, and meeting bookings. You can contact them at [studentservice@buv.edu.vn](mailto:studentservice@buv.edu.vn) or visit the Student Information Counter on Level 2 of the BUV Campus.

**Admission Office:**
They provide support and guidance for inquiries related to the admissions procedure, including pre-arrival inquiries. You can contact them at [admissions@buv.edu.vn](mailto:admissions@buv.edu.vn).

**Course Office:**
They provide support and guidance for inquiries related to the timetable, class arrangement, status changes, course operations, program, and module administration. You can contact them at [courseoffice@buv.edu.vn](mailto:courseoffice@buv.edu.vn).

**Student Academic Support Office:**
They provide support and guidance for inquiries related to academic support, including the Student Tutor Program and Faculty Learning Support. You can contact them at [academic-support@buv.edu.vn](mailto:academic-support@buv.edu.vn).

**Student Engagement:**
They provide general support and guidance for student activities, student life, and employability activities. For inquiries related to student activities and student clubs, you can contact [se-studentlife@buv.edu.vn](mailto:se-studentlife@buv.edu.vn). For inquiries related to internships, career planning, and consultations, you can contact [se-careers@buv.edu.vn](mailto:se-careers@buv.edu.vn).

**Well-being and Psychological Counselling:**
They provide support and guidance for student well-being matters, including psychological counseling services. You can contact them at [student-wellbeing@buv.edu.vn](mailto:student-wellbeing@buv.edu.vn).

**Learning Resources Centre:**
They provide support and guidance for inquiries related to student iPads, learning resources facilities, and the on-campus library. You can contact them at [buv-lrc@buv.edu.vn](mailto:buv-lrc@buv.edu.vn).

**Canvas Learning Management System:**
They provide support and guidance for inquiries related to the Canvas Learning Management System. You can contact them at [buv-lms@buv.edu.vn](mailto:buv-lms@buv.edu.vn).

**Exam Office:**
They provide support and guidance for inquiries related to the exam timetable and exam regulations. You can contact them at [examoffice@buv.edu.vn](mailto:examoffice@buv.edu.vn).

**Academic Compliance Office:**
They provide support and guidance for inquiries related to academic misconduct, academic regulations, and exceptional circumstances. You can contact them at [aca.compliance@buv.edu.vn](mailto:aca.compliance@buv.edu.vn).

**Central of Academic Information Services - CAIS:**
They provide support and guidance for inquiries related to exam results, student records, transcripts, and academic records. You can contact them at [cais@buv.edu.vn](mailto:cais@buv.edu.vn).

**International Office:**
They provide support and guidance for inquiries related to global mobility, including exchange and transfer programs and international study tours. You can contact them at [international@buv.edu.vn](mailto:international@buv.edu.vn).

For specific inquiries, it is recommended to contact the respective office or department mentioned above. They will be able to assist you further.

Sources:

Student Handbook 2023-2024.pdf - Page 6-8"
Who should I connect with at BUV?,"In BUV, there are several contact points depending on the nature of your inquiry. Here are the main contact points:

**Student Information Office:**
They provide support and guidance for general inquiries, attendance records, and meeting bookings. You can contact them at [studentservice@buv.edu.vn](mailto:studentservice@buv.edu.vn) or visit the Student Information Counter on Level 2 of the BUV Campus.

**Admission Office:**
They provide support and guidance for inquiries related to the admissions procedure, including pre-arrival inquiries. You can contact them at [admissions@buv.edu.vn](mailto:admissions@buv.edu.vn).

**Course Office:**
They provide support and guidance for inquiries related to the timetable, class arrangement, status changes, course operations, program, and module administration. You can contact them at [courseoffice@buv.edu.vn](mailto:courseoffice@buv.edu.vn).

**Student Academic Support Office:**
They provide support and guidance for inquiries related to academic support, including the Student Tutor Program and Faculty Learning Support. You can contact them at [academic-support@buv.edu.vn](mailto:academic-support@buv.edu.vn).

**Student Engagement:**
They provide general support and guidance for student activities, student life, and employability activities. For inquiries related to student activities and student clubs, you can contact [se-studentlife@buv.edu.vn](mailto:se-studentlife@buv.edu.vn). For inquiries related to internships, career planning, and consultations, you can contact [se-careers@buv.edu.vn](mailto:se-careers@buv.edu.vn).

**Well-being and Psychological Counselling:**
They provide support and guidance for student well-being matters, including psychological counseling services. You can contact them at [student-wellbeing@buv.edu.vn](mailto:student-wellbeing@buv.edu.vn).

**Learning Resources Centre:**
They provide support and guidance for inquiries related to student iPads, learning resources facilities, and the on-campus library. You can contact them at [buv-lrc@buv.edu.vn](mailto:buv-lrc@buv.edu.vn).

**Canvas Learning Management System:**
They provide support and guidance for inquiries related to the Canvas Learning Management System. You can contact them at [buv-lms@buv.edu.vn](mailto:buv-lms@buv.edu.vn).

**Exam Office:**
They provide support and guidance for inquiries related to the exam timetable and exam regulations. You can contact them at [examoffice@buv.edu.vn](mailto:examoffice@buv.edu.vn).

**Academic Compliance Office:**
They provide support and guidance for inquiries related to academic misconduct, academic regulations, and exceptional circumstances. You can contact them at [aca.compliance@buv.edu.vn](mailto:aca.compliance@buv.edu.vn).

**Central of Academic Information Services - CAIS:**
They provide support and guidance for inquiries related to exam results, student records, transcripts, and academic records. You can contact them at [cais@buv.edu.vn](mailto:cais@buv.edu.vn).

**International Office:**
They provide support and guidance for inquiries related to global mobility, including exchange and transfer programs and international study tours. You can contact them at [international@buv.edu.vn](mailto:international@buv.edu.vn).

For specific inquiries, it is recommended to contact the respective office or department mentioned above. They will be able to assist you further.

Sources:

Student Handbook 2023-2024.pdf - Page 6-8"
Who do I speak to at BUV?,"In BUV, there are several contact points depending on the nature of your inquiry. Here are the main contact points:

**Student Information Office:**
They provide support and guidance for general inquiries, attendance records, and meeting bookings. You can contact them at [studentservice@buv.edu.vn](mailto:studentservice@buv.edu.vn) or visit the Student Information Counter on Level 2 of the BUV Campus.

**Admission Office:**
They provide support and guidance for inquiries related to the admissions procedure, including pre-arrival inquiries. You can contact them at [admissions@buv.edu.vn](mailto:admissions@buv.edu.vn).

**Course Office:**
They provide support and guidance for inquiries related to the timetable, class arrangement, status changes, course operations, program, and module administration. You can contact them at [courseoffice@buv.edu.vn](mailto:courseoffice@buv.edu.vn).

**Student Academic Support Office:**
They provide support and guidance for inquiries related to academic support, including the Student Tutor Program and Faculty Learning Support. You can contact them at [academic-support@buv.edu.vn](mailto:academic-support@buv.edu.vn).

**Student Engagement:**
They provide general support and guidance for student activities, student life, and employability activities. For inquiries related to student activities and student clubs, you can contact [se-studentlife@buv.edu.vn](mailto:se-studentlife@buv.edu.vn). For inquiries related to internships, career planning, and consultations, you can contact [se-careers@buv.edu.vn](mailto:se-careers@buv.edu.vn).

**Well-being and Psychological Counselling:**
They provide support and guidance for student well-being matters, including psychological counseling services. You can contact them at [student-wellbeing@buv.edu.vn](mailto:student-wellbeing@buv.edu.vn).

**Learning Resources Centre:**
They provide support and guidance for inquiries related to student iPads, learning resources facilities, and the on-campus library. You can contact them at [buv-lrc@buv.edu.vn](mailto:buv-lrc@buv.edu.vn).

**Canvas Learning Management System:**
They provide support and guidance for inquiries related to the Canvas Learning Management System. You can contact them at [buv-lms@buv.edu.vn](mailto:buv-lms@buv.edu.vn).

**Exam Office:**
They provide support and guidance for inquiries related to the exam timetable and exam regulations. You can contact them at [examoffice@buv.edu.vn](mailto:examoffice@buv.edu.vn).

**Academic Compliance Office:**
They provide support and guidance for inquiries related to academic misconduct, academic regulations, and exceptional circumstances. You can contact them at [aca.compliance@buv.edu.vn](mailto:aca.compliance@buv.edu.vn).

**Central of Academic Information Services - CAIS:**
They provide support and guidance for inquiries related to exam results, student records, transcripts, and academic records. You can contact them at [cais@buv.edu.vn](mailto:cais@buv.edu.vn).

**International Office:**
They provide support and guidance for inquiries related to global mobility, including exchange and transfer programs and international study tours. You can contact them at [international@buv.edu.vn](mailto:international@buv.edu.vn).

For specific inquiries, it is recommended to contact the respective office or department mentioned above. They will be able to assist you further.

Sources:

Student Handbook 2023-2024.pdf - Page 6-8"
